rate,change
32.6,-0.34
32.2,-0.08
31.3,0.1
30.5,0.66
29.3,1.14
30.9,1.06
31.8,0.66
31.8,0.48
33.8,-0.16
35,0.54
36.2,-0.24
35.1,-0.66
34.2,-1.22
33,-1.12
37.7,-2.14
35,-1.64
31.8,-1.08
28.1,-0.4
27.4,-0.08
27,-0.06
26.8,-0.11
26.4,0.18
26.1,0.41
27,0.23
86.7,-0.98
85,-0.8
83.7,-0.6
83,-0.26
82.2,-0.12
81.8,-0.04
81,0.66
80.7,0.02
81.7,-0.34
81.6,-0.04
81.6,0.02
84.3,-0.66
80.8,0.18
80,0.32
81.4,-0.3
81.7,-0.16
81,-0.24
81.7,-0.2
81.6,-0.5
79.9,-0.18
80.9,0.06
79.8,0.58
80.7,0.48
79.1,1.12
79,1.26
81.2,0.84
82.7,0.58
83.1,0.64
84.7,0.38
85.3,0.18
85.4,0.26
85.6,0.18
86.3,0.06
86.6,0.08
86.2,0.34
86.7,0.52
86.5,0.82
86.6,1.12
87,1.34
87.9,1.28
89.3,1.04
90.6,0.82
92.2,0.62
93.7,0.38
94.3,0.36
94.5,0.4
94.7,0.4
95.3,0.28
95.6,0.2
96.1,0.08
96.5,-0.04
96.7,-0.16
96.7,-0.5
96.6,-0.76
96.5,-0.56
96.3,-0.84
95.9,-1.18
94.2,-1.3
92.8,-1.46
93.7,-1.74
92.1,-1.56
90,-1
87.7,-0.56
85.5,-0.24
85,-0.02
84.3,0.2
85,-0.04
84.9,-0.29
84.3,-0.39
84.9,-0.64
85.3,-0.84
76.8,-0.46
76.1,-0.38
75.6,-0.34
75.2,-0.36
74.8,-0.36
74.5,-0.38
74.2,-0.58
73.9,-0.68
73.4,-0.2
73,-0.18
72.6,-0.16
71.3,0.2
70.5,0.4
72.4,-0.22
72.1,-0.44
71.8,-0.56
72.3,-0.92
72.5,-1.3
71.3,-1.3
69.9,-1.26
69,-1.3
67.7,-0.98
66,-0.04
64.8,0
63.6,-0.12
62.5,-0.78
62.8,-1.88
65.8,-3.8
64.8,-3.8
63,-3.7
58.6,-2.56
53.4,-0.86
46.8,0.66
45.8,0.92
44.5,1.2
45.8,1.1
49.1,0.44
50.1,0.24
50.4,0.5
50.5,1.12
51.3,0.84
51.3,0.74
51.3,0.98
52.9,0.52
56.1,0.24
55.5,0.14
55,0.26
56.2,-0.16
55.5,0.14
57.3,-0.22
56.2,-0.34
56.3,-1.42
55.4,-0.48
56.2,-1.18
56.2,-1.38
54.5,-2.34
49.2,-1.1
53,-2.84
50.3,-2.16
49.3,-2.18
42.8,-0.76
43.7,-0.3
38.8,1.16
39.5,1.38
38.4,1.68
39,2.24
42.2,1.7
44.6,1.26
46.4,0.96
46.8,0.98
50.2,0.31
44.4,-1.26
42.4,-1.06
41.9,-1.08
40.7,-0.88
38.7,-0.8
38.1,-1.28
37.1,-1
36.5,-1.4
36.3,-2.88
34.7,-3.02
31.7,-2.22
32.1,-2.92
29.5,-2.5
21.9,-0.82
19.6,-0.26
20.6,-0.8
17.5,-0.28
17,-0.14
17.8,-0.6
18.3,-0.68
16.6,-0.54
16.1,-0.28
16.3,0
14.8,0.34
14.9,-0.14
13.9,-0.18
14.7,-0.5
16.3,-0.88
16.5,-0.94
14.2,-0.56
13,-0.32
12.2,-0.12
11.9,0
11.8,-0.14
11.4,0.16
11.4,-0.1
11.6,0.4
11.9,0.02
11.1,0.14
12.2,0.28
10.9,0.28
13.6,-0.12
12,0.04
11.8,0.2
13.6,-0.24
12.3,0.24
13,-0.14
12.2,-0.08
12.8,-0.2
12.4,-0.2
13.5,-0.66
12.3,-0.18
11.8,0.02
11.8,-0.12
11.4,-0.1
10.2,0
11.4,-0.32
11.9,-0.46
11.2,-0.42
10.9,-0.36
10.2,-0.18
9.8,-0.14
9.6,-0.16
9.1,-0.12
9.1,-0.12
9.3,-0.07
9.1,-0.22
8.8,-0.38
8.5,-0.52
8.5,-0.69
8.9,-0.86
82.9,-0.12
82.7,-0.12
82.4,0.08
82.2,0.14
82.5,-0.24
82.3,-0.42
82.1,-0.58
82.8,-0.86
82.9,-1
81.3,-0.78
80.2,-0.68
79.2,-0.56
78.5,-0.48
77.9,-0.48
77.4,-0.48
76.8,-0.44
76.4,-0.58
76.1,-0.56
75.5,-0.46
75,-0.48
74.6,0.64
73.5,0.8
73.3,1.12
73.2,0.72
72.6,0.76
77.8,-0.56
77.5,-0.84
78.9,-1.18
76.8,-1.2
76.4,-1.22
75,-1.38
73.3,-1.12
73,-1.24
70.8,-1.12
70.3,-1.36
68.1,-0.82
67.7,-0.64
66.8,-1.08
65.2,-1.22
63.5,-1.98
64,-2.88
64.5,-3.68
61.4,-3.78
59.1,-4.12
53.6,-3.64
49.6,-3.66
46.1,-3.02
42.5,-2.56
38.5,-1.96
35.4,-1.82
31.3,-1.44
31,-1.88
29.7,-2.38
28.7,-2.56
26.3,-1.96
24.1,-1.58
21.6,-1.24
17.8,-0.56
15.9,-0.2
16.5,-0.36
16.2,-0.32
15.4,-0.32
15,-0.4
14.9,-0.56
14.7,-0.72
14.6,0.2
13.8,0.08
13,-0.44
12.1,-0.16
11.1,-0.15
15.6,-1.21
79.4,-0.42
79.1,-0.46
78.8,-0.2
77.9,-0.12
78.3,-0.28
77.3,-0.24
76.8,-0.28
77.8,-0.58
77.3,-0.56
76.9,-0.58
76.1,-0.62
75.4,-0.74
74.9,-0.76
74.5,-0.76
74,-0.58
73,-0.42
71.7,-0.4
71.1,-0.4
70.7,-0.52
71.1,-0.66
70.9,-0.5
69.7,-0.04
69.1,-0.02
68.1,0.26
67.8,0.2
68.4,-0.28
69.5,-0.44
69,-0.44
69.4,-0.52
68.8,0.38
67,1.06
67.3,0.46
66.8,0.3
66.8,0.6
70.7,0
72.3,0.06
69.6,1.3
68.3,1.72
69.8,1.18
70.7,0.96
72.6,0.26
76.1,-0.88
76.9,-1.08
75.7,-0.94
75.5,-1.46
73.9,-2.26
71.7,-2.42
71.5,-1.3
71,-1.96
68.2,-4.36
62.6,-4.32
59.6,-3.84
65,-5.06
61.2,-4.4
46.4,-1.62
41,-0.66
40.4,-0.66
39.7,-0.7
39.2,-0.82
38.3,-0.82
37.7,-0.86
37.1,-0.86
36.2,-0.64
35.1,-0.3
34.2,0.06
33.4,0.6
32.8,1.17
33,1.87
33.6,1.85
34.5,1.76
36.4,1.08
45.1,-1.1
44.3,-1.16
43.1,-1.18
41.8,-1.08
40.6,-1.08
39.6,-1.06
38.5,-1.74
37.2,-1.86
36.4,-1.96
35.2,-2
34.3,-2.2
29.8,-1.44
27.9,-1.24
26.6,-1.02
25.2,-1.18
23.3,-1.2
22.6,-1.44
21.7,-1.62
21.5,-1.84
19.3,-2.42
17.3,-2.3
15.4,-2.36
13.6,-1.82
12.3,-1.92
7.2,-0.76
5.8,-0.46
3.6,-0.1
4.5,-0.14
2.7,0.04
3.4,0
3.5,0.08
3.1,-0.02
3.8,0.02
2.9,0.48
3.4,-0.04
3.9,-0.08
3,0.14
3.9,0.02
5.3,-0.22
3.2,0.48
3.5,0.42
3.7,0.58
4,0.58
4.2,0.26
5.6,-0.06
5.6,-0.12
6.6,-0.24
6.9,-0.3
5.5,0.02
5.3,0.06
5,0.08
5.4,-0.04
5.4,-0.04
5.6,-0.08
5.6,-0.14
5.4,-0.2
5.2,-0.2
5.2,-0.22
5.2,-0.28
4.9,-0.24
4.4,-0.16
4.2,-0.12
4.1,-0.06
3.8,0.04
3.7,0.08
3.6,0.14
3.6,0.24
3.8,0.24
4,0.2
4.1,0.16
4.3,0.12
80.7,-0.36
80.3,-0.42
81.8,-0.74
78.9,0.04
76.1,-0.04
78.9,-0.88
78.2,-0.8
78.1,-0.92
79.1,-1.28
75.9,-0.62
74.5,-0.26
74.2,0.3
73.5,0.42
72.7,0.7
72.8,0.48
73.2,-0.18
75.7,-0.82
75.6,-0.4
76.2,-0.52
75.2,-0.62
72.3,1.14
71.6,1.58
73.6,1.2
73.6,0.98
72.1,1.5
78,0.46
79.5,0.56
79.6,1.08
78.5,1.58
79.6,1.14
80.3,0.9
82.3,0.38
85,-0.32
86.4,-0.78
85.3,-0.7
84.8,-0.62
84.2,-0.68
83.4,-0.68
82.5,-1.04
81.8,-1.18
81.7,-1.66
80.8,-2.08
80,-2.4
77.3,-2.32
75.9,-2.16
73.4,-1.7
70.4,-1.14
68,-0.76
65.7,-0.44
65.1,-0.5
64.9,-0.64
64.7,-0.94
64.2,-1
63.5,-1.48
62.6,-1.54
61.7,-1.94
60,-2.68
59.2,-3.1
56.1,-2.94
54.9,-2.8
52,-2.22
46.6,-1.24
43.7,-1.04
41.4,-0.78
40.9,-1
40.9,-0.88
40.4,-0.98
38.5,0.08
37.5,0.53
35.9,0.7
36.5,0.49
75.1,-0.9
73.9,-0.8
73.6,-1.02
72.6,-0.88
71.2,-0.84
70.6,-0.94
69.9,-1.12
68.5,-1.2
68.2,-0.68
67,-0.7
65.9,-0.8
64.3,-0.5
62.5,-0.22
64.8,-0.74
63.5,-0.54
61.9,-0.32
61.8,-0.62
61.4,-0.56
61.1,-0.5
60.8,-0.7
60.3,-0.68
58.7,-0.88
58.6,-0.44
58.6,-0.86
57.3,-0.32
56.9,-0.3
54.3,0.3
56.4,-0.12
54.3,0.4
55.7,0.16
55.4,0.06
55.8,-0.08
55.8,-0.14
56.3,-0.56
56.5,-0.78
55.7,-0.74
55.4,-0.42
55.1,-0.36
53.5,-0.34
52.6,-0.26
52,-0.28
53.3,-0.7
53.3,-0.98
51.8,-0.9
51.3,-0.94
50.6,-0.86
49.8,-1
48.4,-0.96
47.3,-0.66
46.6,-0.54
46.3,-0.56
44.8,-0.18
43.6,-0.34
44,-1.62
43.9,-1.96
43.5,-1.46
43.9,-3.22
41.9,-4.7
35.9,-3.58
34.1,-3.3
36.2,-3.84
27.8,-2.62
18.4,-1.12
18,-1.2
17.6,-1.28
17,-1.28
14.7,-0.92
12.8,-0.62
12,-0.54
11.2,-0.48
10.6,-0.6
43.4,-0.88
42.1,-0.7
41.9,-0.74
41,-0.56
39.7,-0.6
39,-0.78
38.6,-1.76
38.2,-1.38
38.2,-1.18
36.7,-1.14
35.1,-1.52
29.8,-1.44
31.3,-1.48
32.3,-2.26
31,-1.96
27.5,-1.52
22.6,-0.3
23.9,-0.34
21,-0.26
21.2,-0.5
19.9,-0.76
21.1,-1.26
22.2,-1.5
19.7,-1.14
18.7,-0.7
16.1,-0.32
14.8,-0.06
14.7,0.26
14,-0.02
15.2,-0.24
14.5,0.16
14.5,0.16
16,0
13.9,0.4
14,0.24
15.3,0.06
15.3,0.14
16,0.02
15.9,0.12
15.2,0.38
15.6,0.44
16,0.4
16.1,0.24
16.5,0.12
17.1,-0.12
17.8,-0.48
18,-0.7
17.3,-0.16
17.1,-0.4
16.5,-0.5
15.4,0.02
14.5,0.42
16.5,0.02
15.1,0.1
14,0.08
15.5,-0.36
16.6,0.06
16.6,-0.02
15.6,0.18
14.4,0.6
13.7,0.66
16.9,0.28
16.5,0.52
16.5,0.5
17.4,0.4
17,1
18.3,0.5
19.1,0.24
19,0.29
19.4,0.41
22,-0.34
89.2,-1.42
88,-1.92
87,-2.1
85.9,-1.98
80.9,-1
82.1,-1.48
78.4,-1.18
76.5,-1.22
76,-1.4
75.9,-2.1
74.7,-2.5
72.5,-2.58
70.4,-2.7
69,-2.74
65.4,-2.44
62.2,-2.28
59.6,-1.3
56.9,-1.44
55.3,-1.12
53.2,-0.78
50.8,-0.44
53.1,-0.76
49.7,1.26
49.7,0.72
49.3,0.94
48.6,2.74
49.3,1.16
56,-0.4
53.3,0.6
54,-0.2
62.3,-2.1
55.1,-0.42
54,-0.34
56.3,-1.1
53,-0.86
51.8,-0.96
53,-1.46
52.3,-1.16
50.8,-0.74
48.7,-0.34
47,-0.14
45.7,-0.6
46.5,-1.2
47.1,0.98
47,-0.26
46.3,-0.02
42.7,0.46
40.5,0.8
52,-1.3
45.7,0.08
46.2,-0.38
45,-0.16
44.5,-0.06
45.5,-0.38
46.1,-0.5
44.3,-0.36
44.2,-0.84
44.2,-0.44
43.6,-0.36
43.6,-0.2
42.5,-0.34
40,-0.08
42,-0.66
41.8,-0.8
42.6,-1.04
40.8,-0.3
39.6,0.05
38.7,0.31
37.8,0.78
37.4,1.07
39.3,0.09
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-0.02
100,-0.02
100,-0.02
100,-0.04
100,-0.04
99.9,-0.04
99.9,-0.04
99.9,-0.04
99.8,0
99.8,-0.02
99.7,0
99.7,0
99.7,-0.04
99.8,-0.14
99.7,-0.14
99.7,-0.18
99.7,-0.14
99.5,-0.06
99.1,0.06
99,0.08
98.8,0.12
99,0.1
99.2,0.08
99.4,0
99.4,0.04
99.4,0.04
99.5,0.02
99.6,0.02
99.4,0.06
99.6,0.02
99.6,-0.04
99.6,-0.06
99.7,-0.12
99.7,-0.16
99.7,-0.64
99.4,-3.7
99.3,-4.6
99.1,-5.76
98.9,-6.58
96.5,-9.6
80.9,-7.34
76.3,-7.08
70.3,-8.04
66,-7.86
48.5,-7.34
44.2,-6.76
40.9,-6.3
30.1,-4.02
26.7,-3.48
11.8,-0.48
10.4,-0.3
9.4,-0.62
10,-0.72
9.3,-0.56
9.4,-0.54
8.9,-0.44
6.3,0.08
6.4,0.06
6.5,0.54
6.7,0.52
6.7,0.42
6.7,0.54
6.7,0.6
9.2,0.24
65.1,-0.7
59.1,0.34
64.2,-0.7
65.8,-0.92
63.1,-0.32
61.6,-0.08
60.8,0.86
60.7,0.52
61.2,0.12
61.5,0
61.2,0.2
65.1,-1.3
63.3,-0.9
61.8,-0.84
61.5,-1.06
62.2,-0.6
58.6,-1.14
58.8,-2.02
57.6,-1.96
56.2,-1.72
59.2,-2.12
52.9,-0.8
48.7,-0.36
47.8,-0.42
47.6,-0.7
48.6,-1.04
48.9,-1.12
46.9,-0.56
45.7,-0.12
44.1,0.34
43.4,0.44
43.3,0.2
44.1,-0.14
45.1,-0.54
45.8,-0.78
45.6,-0.78
44.3,-0.38
43.4,0.1
42.4,0.52
41.9,0.64
41.7,0.58
42.4,0.3
43.9,0.2
45,-0.04
45.1,-0.02
44.6,0.26
43.9,0.36
44.9,0.36
44.8,0.4
45,0.2
45.9,-0.18
45.7,-0.34
46.7,-0.68
46.8,-0.8
46,-0.74
45,-0.68
44,-0.62
43.3,-0.6
42.8,-0.62
42.3,-0.66
41.6,-0.68
40.9,-0.58
40.3,-0.18
39.7,0.08
39,0.38
38.2,1.25
38,1.69
39.4,1.22
40.1,0.83
40.9,0.45
44.4,-0.39
6,-0.26
5.5,-0.18
5.4,-0.18
5.2,-0.14
4.7,-0.1
4.7,-0.12
4.6,-0.1
4.5,-0.04
4.5,-0.04
4.2,-0.02
4.1,-0.02
4.1,-0.1
4.3,-0.22
4.3,-0.26
4.1,-0.28
4,-0.38
3.6,-0.32
3.2,-0.26
3,-0.18
2.7,-0.12
2.1,0.14
2,0.12
1.9,0.16
2.1,0.02
2.1,0.02
2.8,0.06
2.6,0.2
2.7,0.26
2.2,0.42
2.2,0.5
3.1,0.44
3.6,0.48
4,0.54
4.3,0.64
4.7,2.12
5.3,6.06
6,6.14
6.7,10.62
7.5,13.8
15.3,13.72
35.6,9.92
36.7,9.24
59.8,-0.92
76.5,-6.2
83.9,-8.96
85.2,-10.96
82.9,-10.5
55.2,-5.04
45.5,-0.34
39.1,0.82
30.4,2.52
30.4,2.32
30,2.08
43.8,-0.92
43.2,-0.98
43,-1.3
42,-1.46
40.4,-1.38
39.2,-1.56
38.3,-1.3
36.5,-0.84
34.7,-0.22
33.5,-0.02
31.4,0.46
31.8,0.82
32.3,1.12
33.6,0.64
33.4,0.46
33.7,0.16
35.9,-0.44
37.9,-1
89.1,-0.46
88.5,-0.44
88.2,-0.48
87.7,-0.5
87.1,-0.42
86.8,-0.54
86.3,-0.4
85.8,-0.82
85.2,-1.06
85,-1.26
84.1,-1.04
84.3,-0.92
81.7,-0.76
79.9,-0.16
78.7,0.18
78.9,0.2
79.7,-0.02
77.9,0.56
79.1,-0.74
79.6,-1.24
79.9,-0.42
79.6,-0.7
80.7,-1.84
75.4,-1.78
73.4,-1.38
77.8,-1.84
76.1,-1.36
71.5,-0.5
66.5,0.54
66.5,0.36
68.6,-0.04
69.3,-0.32
69,-0.16
69.2,-0.6
68.3,-0.66
68.4,-0.94
67.7,-1.14
68.2,-1.58
66.2,-1.3
65,-1.24
63.7,-1.08
62,-0.96
60.3,-0.84
59.7,-0.8
58.8,-0.62
58.3,-0.78
57.2,-0.78
56.1,-0.64
55.7,-0.86
55.7,-0.96
54.4,-0.9
53.3,-1.02
52.9,-1.18
51.4,-1.16
50.9,-0.9
49.9,-1
48.2,-0.88
47,-0.96
45.6,-0.74
46.4,-0.94
44.9,-0.74
43.8,-0.64
42.2,-0.1
41.9,0.2
41.7,0.38
41.2,1.06
40.6,1.1
41.7,1.03
42.9,0.74
43.6,0.27
46.5,-0.35
43.2,-0.6
42.3,-0.66
41.8,-0.88
41.4,-0.96
40.7,-0.9
40.2,-0.76
39,-0.5
37.4,-0.18
36.6,0.44
36.2,0.26
36.4,0.64
36.5,0.76
36.5,0.42
38.8,-0.48
37.5,-0.26
39.6,-0.84
40.3,-1.02
38.6,-0.44
36.4,0.62
36.2,0.82
35.4,1.04
35.2,1.42
36.4,1.26
39.5,1.08
40.3,0.4
40.6,0.52
42.3,1.02
42.7,1.42
44.9,1.14
42.3,1.76
43.2,1.82
47.4,1.16
49.8,0.88
50.6,0.64
51.1,0.42
52.3,0.18
53.2,0.9
54.2,0.84
53.8,0.94
53.2,1.24
53.2,1.36
57.7,0.6
58.4,0.42
58.5,0.24
59.4,-0.12
60,-0.3
60.7,-0.66
60.5,0.38
59.7,-0.14
58.8,-0.3
58.5,-0.88
57.4,-0.36
62.4,-1.1
59,-0.28
57.3,1.24
54.1,2.54
55.6,2.76
56.9,2.3
57.6,2.28
63.5,1.02
66.8,0.32
69.4,-0.3
68.4,-0.18
69,-0.34
68.6,-0.38
68.4,0.42
67.9,0.25
67.5,0.17
67.3,0.06
66.7,0.02
70.5,-0.8
64,-0.6
63.3,-0.54
62.9,-0.6
62.3,-0.56
61.4,-0.56
61,-0.56
60.6,-0.34
59.9,-0.08
59.5,-0.42
58.6,-0.44
58.2,-0.26
58.9,-0.62
59.5,-0.84
57.4,-0.58
56.4,-0.28
56.9,-0.68
55.8,-0.5
55.3,-0.64
54.5,-0.28
55,-0.2
53.5,-0.72
53.3,-1.64
52.1,-1.72
53.1,-1.7
54,-2.62
49.9,-1.16
45.1,-0.2
43.5,1
44.6,1.36
40.9,2.46
44.1,0.78
44.1,1.04
